precision,recall,threshold
0.8990063895065724,0.9999373845527691,3.628092271057426e-09
0.8990190421234853,0.9999373845527691,3.6494547384080533e-09
0.899031695096549,0.9999373845527691,3.773986456678813e-09
0.8990443484257786,0.9999373845527691,3.790304514694753e-09
0.8990570021111893,0.9999373845527691,3.7919094530991515e-09
0.899069656152796,0.9999373845527691,3.915958224354199e-09
0.8990823105506137,0.9999373845527691,3.952245641869467e-09
0.8990949653046575,0.9999373845527691,3.963614769730839e-09
0.8991076204149424,0.9999373845527691,4.028759992280584e-09
0.8991202758814836,0.9999373845527691,4.039092615926165e-09
0.899132931704296,0.9999373845527691,4.0731560346785045e-09
0.8991455878833946,0.9999373845527691,4.076964543742179e-09
0.8991441682385068,0.9999217306909615,4.10933287398052e-09
0.8991568249320815,0.9999217306909615,4.171211820391818e-09
0.899169481981982,0.9999217306909615,4.175995993449533e-09
0.899168062613494,0.9999060768291538,4.176753165552327e-09
0.8991807201779329,0.9999060768291538,4.254868901654163e-09
0.8991933780987372,0.9999060768291538,4.278983833927441e-09
0.8992060363759221,0.9999060768291538,4.327350922039841e-09
0.8992186950095024,0.9999060768291538,4.359236083217866e-09
0.8992313539994932,0.9999060768291538,4.3850545417001285e-09
0.8992440133459096,0.9999060768291538,4.39316627520725e-09
0.8992566730487668,0.9999060768291538,4.395789954259044e-09
0.8992693331080795,0.9999060768291538,4.426963684522889e-09
0.8992819935238632,0.9999060768291538,4.452961999135141e-09
0.8992946542961325,0.9999060768291538,4.541395259849423e-09
0.8993073154249028,0.9999060768291538,4.550386734081258e-09
0.8993199769101891,0.9999060768291538,4.580428480949195e-09
0.8993326387520063,0.9999060768291538,4.624884475390445e-09
0.8993453009503696,0.9999060768291538,4.7229344879440305e-09
0.899357963505294,0.9999060768291538,4.7295420912973896e-09
0.8993706264167945,0.9999060768291538,4.73143701995582e-09
0.8993832896848863,0.9999060768291538,4.742604975405129e-09
0.8993959533095844,0.9999060768291538,4.74479433520969e-09
0.8994086172909039,0.9999060768291538,4.758724081455057e-09
0.8994212816288599,0.9999060768291538,4.827112487504337e-09
0.8994339463234673,0.9999060768291538,4.878259574070398e-09
0.8994466113747412,0.9999060768291538,4.891443250443217e-09
